0.200000	0.773000	70
0.859000	1.083000	66
1.109000	1.450000	66
1.700000	2.081000	70
2.110000	2.316000	73
2.370000	3.003000	70
3.050000	3.352000	63
3.398000	3.707000	63
3.720000	4.092000	63
4.120000	4.700000	70
4.700000	5.211000	68
5.540000	5.948000	70
5.959000	6.268000	68
6.359000	6.779000	61
6.809000	7.035000	61
7.059000	7.483000	73
7.625000	7.950000	75
7.994000	8.200000	70
8.200000	8.892000	66
9.270000	9.468000	61
9.530000	9.775000	58
9.775000	10.200000	59
10.200000	10.450000	66
10.450000	11.813000	66
11.819000	12.094000	68
