0.200000	0.500000	61
0.529000	0.948000	65
0.959000	1.268000	66
1.290000	1.492000	68
1.600000	1.934000	61
1.954000	2.611000	70
2.710000	3.027000	68
3.040000	3.379000	68
3.690000	4.275000	66
4.356000	5.114000	65
5.120000	5.492000	63
5.740000	5.972000	56
6.070000	6.355000	63
6.370000	6.740000	65
6.770000	6.996000	66
7.009000	7.283000	56
7.490000	8.179000	68
8.209000	8.500000	66
8.546000	9.075000	65
9.225000	9.811000	63
9.951000	10.445000	63
10.600000	11.059000	61
11.250000	11.572000	56
11.600000	11.924000	61
