0.200000	0.468000	59
0.472000	0.791000	61
0.795000	1.091000	64
1.095000	1.389000	63
1.393000	1.700000	63
1.704000	2.013000	61
2.017000	2.450000	61
2.454000	2.925000	59
2.925000	3.180000	59
3.184000	3.560000	58
3.565000	4.105000	59
4.105000	4.591000	66
4.985000	5.306000	66
5.310000	5.550000	66
5.554000	5.691000	65
5.695000	5.891000	66
5.895000	6.170000	64
6.174000	6.460000	64
6.465000	6.800000	63
6.804000	7.220000	63
7.224000	7.660000	64
7.665000	8.000000	64
8.004000	8.291000	63
8.295000	8.541000	64
8.545000	8.888000	61
8.892000	9.302000	61
