0.200000	0.652000	66
0.660000	0.941000	67
1.021000	1.309000	69
1.521000	2.021000	71
2.021000	2.476000	62
2.491000	2.821000	72
2.821000	3.078000	71
3.150000	3.352000	69
3.431000	3.693000	69
3.771000	4.232000	59
4.341000	4.684000	71
4.696000	4.962000	69
4.980000	5.260000	66
5.260000	5.645000	67
5.741000	6.156000	59
6.180000	6.541000	69
6.560000	6.765000	67
6.860000	7.148000	64
7.160000	7.565000	65
7.580000	8.012000	67
8.030000	8.717000	64
8.730000	8.908000	62
9.021000	9.379000	64
9.721000	9.869000	64
9.880000	10.183000	64
10.250000	10.412000	66
10.551000	10.796000	67
10.910000	11.148000	62
11.321000	11.724000	66
