0.200000	0.571000	56
0.575000	0.914000	57
1.010000	1.176000	62
1.180000	1.384000	62
1.389000	1.628000	62
1.632000	2.004000	64
2.008000	2.233000	62
2.237000	2.692000	64
2.696000	2.861000	64
2.866000	3.070000	62
3.074000	3.272000	62
3.276000	3.512000	64
3.517000	3.840000	62
3.844000	4.055000	64
4.292000	4.483000	64
4.487000	4.668000	64
4.672000	4.907000	64
4.911000	5.108000	64
5.112000	5.298000	62
5.302000	5.721000	62
5.725000	6.108000	59
6.112000	6.525000	59
6.532000	6.725000	59
6.729000	7.154000	63
7.158000	7.497000	64
7.585000	7.751000	64
7.755000	7.959000	62
7.972000	8.161000	62
8.166000	8.540000	64
8.544000	8.767000	62
8.771000	8.946000	64
9.192000	9.391000	64
9.395000	9.620000	62
9.624000	9.844000	62
9.848000	10.078000	64
10.112000	10.467000	67
10.471000	10.644000	64
10.648000	10.915000	62
10.919000	11.062000	62
